subbasin,data_type,data_collection_type,species,location,description,timeframe,source,where_learned_about,references,notes,machine_readable,pdf_title,subject,author,,,,,,,,,,,
klamath,hatchery,Hatcheryrec,All Salmon,iron gate hatchery,Iron Gate Hatchery - 2008 annual report: Recovery of fall-run Chinook and coho salmon at Iron Gate Hatchery - Final,2009,CDFW,,,,,,Recovery of fall-run Chinook and coho salmon at Iron Gate Hatchery,"Chesney, D.",,,,,,,,,,,
klamath,hatchery,Hatcheryrec,Fall Chinook,iron gate hatchery,Iron Gate Hatchery - 2009 annual report: Recovery of fall-run Chinook and coho salmon at Iron Gate Hatchery - Final,2010,CDFW,,,,,,Recovery of fall-run Chinook and coho salmon at Iron Gate Hatchery,"Chesney, D. and M. Knechtle",,,,,,,,,,,
klamath,hatchery,Hatcheryrec,All Salmon,iron gate hatchery,Iron Gate Hatchery - 2010 annual report: Recovery of fall-run Chinook and coho salmon at Iron Gate Hatchery,2011,CDFW,,,,,,"Results of salmon returns to Iron Gate Hatchery, Fall 2010.","Chesney, D. and M. Knechtle",,,,,,,,,,,
klamath,hatchery,Hatcheryrec,All Salmon,iron gate hatchery,Iron Gate Hatchery - 2011 annual report: Recovery of fall-run Chinook and coho salmon at Iron Gate Hatchery,2012,CDFW,,,,,,Recovery of fall-run Chinook and coho salmon at Iron Gate Hatchery,"Chesney, D. and M. Knechtle",,,,,,,,,,,
klamath,hatchery,Hatcheryrec,All Salmon,iron gate hatchery,Iron Gate Hatchery - 2012 annual report: Recovery of fall-run Chinook and coho salmon at Iron Gate Hatchery,2013,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=77812,,,,Recovery of fall-run Chinook and coho salmon at Iron Gate Hatchery,"Chesney, D. and M. Knechtle",,,,,,,,,,,
shasta,flow,instream flow monitoring,,,"USGS, DWR",1957-ongoing,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
shasta,flow,"instream flow monitoring on Shasta River, Big Springs Creek, Little Shasta River",,,"University of California at Davis Center for Watershed Science, TNC, Watercource Engineering",?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
klamath,water temperature,Intra-Gravel Water Temperatures,chinook,,Water temperature data collection in areas with high density of chinook salmon redds,2014-2015,"Magneson, M.D.  2015.  Klamath and Trinity River intra-gravel water temperatures, 2014 and 2015.  U.S. Fish and Wildlife Service.  Arcata Fish and Wildlife Office, Arcata Fisheries Technical Report Number DS 2015-45, Arcata, California. ",IFRMP,https://ifrmp.net/wp-content/uploads/2017/01/Magneson-et-al_2016_0214_Klamath-Trinity-Intragravel-Water-Temperature-Report.pdf,,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,south fork,2004 South Fork Trinity River Spring Chinook/Summer Steelhead Snorkel Survey Totals,2004,CDFW,,,,,,South Fork Trinity River Spring Chinook Summer Steelhead Snorkel Survey,"Garrison, P.",,,,,,,,,,,
mid klamath,habitat,Juvenile presence/absense surveys for Coho and summer steelhead,,,Klamath/Six Rivers NF and Karuk Tribe,?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
lost,fish population estimates,Long term capture-recapture program assess status and dynamics of Lost River suckers and Shortnose suckers,,,USGS,1995-ongoing,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
williamson,fish population estimates,Long term sucker population monitoring program,,,?,2006-ongoing,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
upper klamath lake,fish population estimates,Long-term capture-recapture program to assess status of Lost River and shortnose suckers. Much of the USGS work on suckers builds upon a foundation of earlier long-term research on suckers carried out by Dr. Douglas Markle of Oregon State University (OSU).,,,USGS,1995-ongoing,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
upper klamath lake,fish population estimates,Lost River and Shortnose sucker fry survival and health in Upper Klamath Lake.,,,USFWS,?,Foott 2004; Stone et al. 2017,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
salmon,fish population estimates,Mark Recapture,Fall Chinook,,2002 Fall Chinook salmon run size in the Scott and Salmon Rivers and miscellaneous tributary streams in the mid-Klamath basin,2004,CDFW,,,,,,Klamath basin fall Chinook salmon run size,"Borok, S. and M. Hampton",,,,,,,,,,,
