subbasin,data_type,species,source,start,end,n_years,species_group
Trinity,Fish Population Estimates,All Salmon,CDFW,2019,2019,1,All Salmonids
Trinity,Juvenile Monitoring,All Salmon,CDFW,2011,2011,1,All Salmonids
Trinity,Juvenile Monitoring,NA,YUROK,2000,2000,1,NA
Trinity,Juvenile Monitoring,NA,USFWS,2009,2009,1,NA
Trinity,Juvenile Monitoring,NA,USFWS,2007,2007,1,NA
Trinity,Juvenile Monitoring,NA,USFWS,2008,2008,1,NA
Trinity,Juvenile Monitoring,NA,YUROK,2010,2010,1,NA
Trinity,Juvenile Monitoring,NA,USFWS,2011,2011,1,NA
Trinity,Juvenile Monitoring,NA,USFWS,2013,2013,1,NA
Trinity,Juvenile Monitoring,NA,USFWS,2014,2014,1,NA
Trinity,Juvenile Monitoring,NA,USFWS,2015,2015,1,NA
Trinity,Juvenile Monitoring,NA,USFWS,2016,2016,1,NA
Lower Klamath,Juvenile Monitoring,NA,YUROK,2008,2008,1,NA
Trinity,Escapement,CCC Steelhead,CDFW,2015,2015,1,Steelhead
Lower Klamath,Escapement,Steelhead,CDFW,2004,2004,1,Steelhead
Lower Klamath,Escapement,Steelhead,CDFW,2005,2005,1,Steelhead
Lower Klamath,Escapement,Steelhead,CDFW,2006,2006,1,Steelhead
Lower Klamath,Escapement,Steelhead,CDFW,2007,2007,1,Steelhead
Lower Klamath,Escapement,Steelhead,CDFW,2008,2008,1,Steelhead
Lower Klamath,Escapement,Steelhead,USFS,2010,2010,1,Steelhead
Lower Klamath,Escapement,Steelhead,USFS,2011,2011,1,Steelhead
Lower Klamath,Escapement,Steelhead,USFS,2012,2012,1,Steelhead
Lower Klamath,Escapement,Steelhead,USFS,2013,2013,1,Steelhead
Lower Klamath,Escapement,All Salmon,CDFW,2006,2006,1,All Salmonids
Lower Klamath,Escapement,All Salmon,CDFW,2008,2008,1,All Salmonids
Lower Klamath,Escapement,All Salmon,CDFW,2012,2012,1,All Salmonids
Lower Klamath,Escapement,All Salmon,CDFW,2011,2011,1,All Salmonids
Lower Klamath,Escapement,Steelhead,CDFW,2009,2009,1,Steelhead
Salmon,Escapement,ALL,OTHER,1998,1998,1,All Salmonids
Salmon,Escapement,ALL,OTHER,1999,1999,1,All Salmonids
Salmon,Escapement,ALL,OTHER,2000,2000,1,All Salmonids
Salmon,Escapement,ALL,OTHER,2001,2001,1,All Salmonids
Salmon,Escapement,ALL,OTHER,2002,2002,1,All Salmonids
Salmon,Escapement,ALL,OTHER,2003,2003,1,All Salmonids
Salmon,Escapement,ALL,OTHER,2004,2004,1,All Salmonids
Salmon,Escapement,ALL,OTHER,2011,2011,1,All Salmonids
Salmon,Escapement,ALL,OTHER,2012,2012,1,All Salmonids
Salmon,Escapement,ALL,OTHER,2013,2013,1,All Salmonids
Salmon,Escapement,ALL,OTHER,2014,2014,1,All Salmonids
Salmon,Escapement,ALL,OTHER,2015,2015,1,All Salmonids
Salmon,Escapement,ALL,OTHER,2016,2016,1,All Salmonids
Salmon,Escapement,ALL,OTHER,2017,2017,1,All Salmonids
Salmon,Escapement,All Salmon,CDFW,2008,2008,1,All Salmonids
Salmon,Escapement,All Salmon,CDFW,2007,2007,1,All Salmonids
Salmon,Escapement,All Salmon,CDFW,2009,2009,1,All Salmonids
Salmon,Escapement,All Salmon,CDFW,2010,2010,1,All Salmonids
Salmon,Escapement,ALL,OTHER,2010,2010,1,All Salmonids
Salmon,Escapement,All Salmon,CDFW,2011,2011,1,All Salmonids
Salmon,Escapement,All Salmon,CDFW,2012,2012,1,All Salmonids
Salmon,Escapement,All Salmon,CDFW,2013,2013,1,All Salmonids
Scott,Escapement,All Salmon,CDFW,2018,2018,1,All Salmonids
Scott,Escapement,All Salmon,CDFW,2009,2009,1,All Salmonids
Scott,Escapement,All Salmon,CDFW,2010,2010,1,All Salmonids
Scott,Escapement,All Salmon,CDFW,2013,2013,1,All Salmonids
Shasta,Escapement,All Salmon,CDFW,2010,2010,1,All Salmonids
Shasta,Escapement,All Salmon,CDFW,2012,2012,1,All Salmonids
Shasta,Escapement,All Salmon,CDFW,2013,2013,1,All Salmonids
Shasta,Escapement,All Salmon,CDFW,2018,2018,1,All Salmonids
Shasta,Escapement,All Salmon,CDFW,2002,2002,1,All Salmonids
Shasta,Escapement,All Salmon,CDFW,2003,2003,1,All Salmonids
Shasta,Escapement,All Salmon,CDFW,2004,2004,1,All Salmonids
Shasta,Escapement,All Salmon,CDFW,2005,2005,1,All Salmonids
Shasta,Escapement,All Salmon,CDFW,2006,2006,1,All Salmonids
Shasta,Escapement,All Salmon,CDFW,2008,2008,1,All Salmonids
Shasta,Escapement,All Salmon,CDFW,2009,2009,1,All Salmonids
Shasta,Escapement,All Salmon,CDFW,2001,2001,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2000,2000,1,All Salmonids
Trinity,Escapement,Steelhead,CDFW,2002,2002,1,Steelhead
Trinity,Escapement,All Salmon,CDFW,2003,2003,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2004,2004,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2005,2005,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2006,2006,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2007,2007,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2011,2011,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2012,2012,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2014,2014,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2015,2015,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2016,2016,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2017,2017,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2001,2001,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2008,2008,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2013,2013,1,All Salmonids
Lower Klamath,Escapement,Coho,USFWS,2008,2008,1,Coho
Lower Klamath,Escapement,All Salmon,CDFW,2016,2016,1,All Salmonids
Lower Klamath,Escapement,All Salmon,CDFW,2018,2018,1,All Salmonids
Lower Klamath,Escapement,UTKR Chinook,CDFW,2022,2022,1,Chinook
Lower Klamath,Escapement,All Salmon,CDFW,2009,2009,1,All Salmonids
Lower Klamath,Escapement,All Salmon,YUROK,2012,2012,1,All Salmonids
Salmon,Escapement,UTKR Chinook,OTHER,2005,2005,1,Chinook
Scott,Escapement,All Salmon,CDFW,2017,2017,1,All Salmonids
Scott,Escapement,Coho,CDFW,2007,2007,1,Coho
Scott,Escapement,Coho,CDFW,2006,2006,1,Coho
Scott,Escapement,Coho,CDFW,2012,2012,1,Coho
